代號,名稱,年月日,報酬率％
1101,台泥,2020/12/30,0.5814
1101,台泥,2020/12/29,0
1101,台泥,2020/12/28,0.4673
1101,台泥,2020/12/25,0.2342
1101,台泥,2020/12/24,-0.2336
1101,台泥,2020/12/23,-0.3492
1101,台泥,2020/12/22,-1.2644
1101,台泥,2020/12/21,1.2806
1101,台泥,2020/12/18,0.7034
1101,台泥,2020/12/17,-0.9292
1101,台泥,2020/12/16,1.2941
1101,台泥,2020/12/15,-0.7009
1101,台泥,2020/12/14,-0.2331
1101,台泥,2020/12/11,-0.8092
1101,台泥,2020/12/10,-0.2307
1101,台泥,2020/12/09,-0.5734
1101,台泥,2020/12/08,0.1148
1101,台泥,2020/12/07,-0.2291
1101,台泥,2020/12/04,0.3448
1101,台泥,2020/12/03,0.6944
1101,台泥,2020/12/02,0.1159
1101,台泥,2020/12/01,0.5828
1101,台泥,2020/11/30,-0.9238
1101,台泥,2020/11/27,0.8149
1101,台泥,2020/11/26,0.8216
1101,台泥,2020/11/25,-0.3509
1101,台泥,2020/11/24,-0.5814
1101,台泥,2020/11/23,0.7026
1101,台泥,2020/11/20,-0.4662
1101,台泥,2020/11/19,0.4684
1101,台泥,2020/11/18,-0.117
1101,台泥,2020/11/17,0.9445
1101,台泥,2020/11/16,0.2367
1101,台泥,2020/11/13,-0.3538
1101,台泥,2020/11/12,-0.5862
1101,台泥,2020/11/11,2.6474
1101,台泥,2020/11/10,0.9721
1101,台泥,2020/11/09,0.7344
1101,台泥,2020/11/06,-0.4872
1101,台泥,2020/11/05,0.3667
1101,台泥,2020/11/04,-0.1221
1101,台泥,2020/11/03,0.8621
1101,台泥,2020/11/02,0.1233
1101,台泥,2020/10/30,0.4957
1101,台泥,2020/10/29,-0.4932
1101,台泥,2020/10/28,0.1235
1101,台泥,2020/10/27,0
1101,台泥,2020/10/26,-0.369
1101,台泥,2020/10/23,-0.8537
1101,台泥,2020/10/22,1.737
1101,台泥,2020/10/21,-0.1239
1101,台泥,2020/10/20,-0.2472
1101,台泥,2020/10/19,0.3722
1101,台泥,2020/10/16,0
1101,台泥,2020/10/15,-0.4938
1101,台泥,2020/10/14,0
1101,台泥,2020/10/13,-1.0989
1101,台泥,2020/10/12,-0.486
1101,台泥,2020/10/08,0
1101,台泥,2020/10/07,-0.6039
1101,台泥,2020/10/06,0.9756
1101,台泥,2020/10/05,-0.9662
1101,台泥,2020/09/30,0.4854
1101,台泥,2020/09/29,0.6105
1101,台泥,2020/09/28,0.9864
1101,台泥,2020/09/25,1.2484
1101,台泥,2020/09/24,-2.3171
1101,台泥,2020/09/23,-1.9139
1101,台泥,2020/09/22,-1.0651
1101,台泥,2020/09/21,-0.5882
1101,台泥,2020/09/18,-0.1175
1101,台泥,2020/09/17,-0.7001
1101,台泥,2020/09/16,0.3513
1101,台泥,2020/09/15,-0.5821
1101,台泥,2020/09/14,1.5366
1101,台泥,2020/09/11,-0.3534
1101,台泥,2020/09/10,-0.235
1101,台泥,2020/09/09,-0.3513
1101,台泥,2020/09/08,0
1101,台泥,2020/09/07,1.1848
1101,台泥,2020/09/04,-1.171
1101,台泥,2020/09/03,0.1172
1101,台泥,2020/09/02,-0.2339
1101,台泥,2020/09/01,-0.3497
1101,台泥,2020/08/31,-1.3793
1101,台泥,2020/08/28,-0.7982
1101,台泥,2020/08/27,-0.5669
1101,台泥,2020/08/26,0
1101,台泥,2020/08/25,0.1135
1101,台泥,2020/08/24,-0.452
1101,台泥,2020/08/21,1.7241
1101,台泥,2020/08/20,-1.9166
1101,台泥,2020/08/19,0.7955
1101,台泥,2020/08/18,1.4994
1101,台泥,2020/08/17,1.1669
1101,台泥,2020/08/14,4.0049
1101,台泥,2020/08/13,0.4878
1101,台泥,2020/08/12,-2.0413
1101,台泥,2020/08/11,-0.2146
1101,台泥,2020/08/10,-1.0616
1101,台泥,2020/08/07,-0.106
1101,台泥,2020/08/06,1.507
1101,台泥,2020/08/05,2.3128
1101,台泥,2020/08/04,1.0011
1101,台泥,2020/08/03,-0.1111
1101,台泥,2020/07/31,-0.7718
1101,台泥,2020/07/30,0.6659
1101,台泥,2020/07/29,1.236
1101,台泥,2020/07/28,-0.2242
1101,台泥,2020/07/27,-0.8889
1101,台泥,2020/07/24,-1.3158
1101,台泥,2020/07/23,0.2198
1101,台泥,2020/07/22,-0.1098
1101,台泥,2020/07/21,0.9978
1101,台泥,2020/07/20,0.6696
1101,台泥,2020/07/17,0.6742
1101,台泥,2020/07/16,-2.4123
1101,台泥,2020/07/15,0.6623
1101,台泥,2020/07/14,0.2212
1101,台泥,2020/07/13,0.5562
1101,台泥,2020/07/10,-0.7726
1101,台泥,2020/07/09,0.3322
1101,台泥,2020/07/08,1.4607
1101,台泥,2020/07/07,0.2252
1101,台泥,2020/07/06,1.0239
1101,台泥,2020/07/03,0.8028
1101,台泥,2020/07/02,1.1601
1101,台泥,2020/07/01,0.8187
1101,台泥,2020/06/30,0.2345
1101,台泥,2020/06/29,-0.4667
1101,台泥,2020/06/24,0.3513
1101,台泥,2020/06/23,-0.4662
1101,台泥,2020/06/22,0.8226
1101,台泥,2020/06/19,-0.3513
1101,台泥,2020/06/18,-0.3501
1101,台泥,2020/06/17,0
1101,台泥,2020/06/16,0.8235
1101,台泥,2020/06/15,-0.9324
1101,台泥,2020/06/12,-0.9238
1101,台泥,2020/06/11,-1.5909
1101,台泥,2020/06/10,0.2278
1101,台泥,2020/06/09,-0.1138
1101,台泥,2020/06/08,0.6873
1101,台泥,2020/06/05,0.576
1101,台泥,2020/06/04,-0.5727
