Date,50_Portfolio_Daily_Return,TW50TR_Daily_Return,
2020/10/7,2020/10/7,0.006236037,0.004601
2020/10/8,2020/10/8,0.021757984,0.016842
2020/10/12,2020/10/12,0.010914931,0.010401
2020/10/13,2020/10/13,-0.002052105,-0.001642
2020/10/14,2020/10/14,-0.005755693,-0.005065
2020/10/15,2020/10/15,-0.008917876,-0.009434
2020/10/16,2020/10/16,-0.006166113,-0.005855
2020/10/19,2020/10/19,0.014568949,0.014039
2020/10/20,2020/10/20,-0.00738393,-0.006857
2020/10/21,2020/10/21,0.000302869,0.000783
2020/10/22,2020/10/22,0.006133026,0.005164
2020/10/23,2020/10/23,-0.004984439,-0.004288
2020/10/26,2020/10/26,3.33E-05,-0.000122
2020/10/27,2020/10/27,-0.00206959,-0.003132
2020/10/28,2020/10/28,-0.006346891,-0.006606
2020/10/29,2020/10/29,-0.011427936,-0.01258
2020/10/30,2020/10/30,-0.010369553,-0.008936
2020/11/2,2020/11/2,0.004289145,0.005967
2020/11/3,2020/11/3,0.011550636,0.011607
2020/11/4,2020/11/4,0.014985134,0.013374
2020/11/5,2020/11/5,0.00335569,0.004287
2020/11/6,2020/11/6,0.004481838,0.004462
2020/11/9,2020/11/9,0.012600036,0.011717
2020/11/10,2020/11/10,-0.012779226,-0.006129
2020/11/11,2020/11/11,0.011741921,0.014375
2020/11/12,2020/11/12,-0.001816771,-0.000889
2020/11/13,2020/11/13,0.005897662,0.0046
2020/11/16,2020/11/16,0.031761992,0.029493
2020/11/17,2020/11/17,0.002896667,0.003213
2020/11/18,2020/11/18,0.017127531,0.016918
2020/11/19,2020/11/19,-0.007636189,-0.006904
2020/11/20,2020/11/20,-0.001908016,-0.001984
2020/11/23,2020/11/23,0.016058372,0.013597
2020/11/24,2020/11/24,-0.003479116,-0.006736
2020/11/25,2020/11/25,-0.008570924,-0.007859
2020/11/26,2020/11/26,0.007224458,0.006023
2020/11/27,2020/11/27,-0.000542536,-0.000983
2020/11/30,2020/11/30,-0.013289237,-0.015248
2020/12/1,2020/12/1,0.013626285,0.015553
2020/12/2,2020/12/2,0.010815831,0.010835
2020/12/3,2020/12/3,-0.001381832,-0.001131
2020/12/4,2020/12/4,0.014291524,0.013009
2020/12/7,2020/12/7,0.019062135,0.014001
2020/12/8,2020/12/8,0.012843719,0.010796
2020/12/9,2020/12/9,-0.001662808,-0.001715
2020/12/10,2020/12/10,-0.013225307,-0.011748
2020/12/11,2020/12/11,0.005435694,0.004872
2020/12/14,2020/12/14,-0.010981035,-0.00917
2020/12/15,2020/12/15,-0.01237123,-0.008923
2020/12/16,2020/12/16,0.014872998,0.015304
2020/12/17,2020/12/17,-0.001336307,-0.001669
2020/12/18,2020/12/18,0.001592109,-0.000245
2020/12/21,2020/12/21,0.013183023,0.011481
2020/12/22,2020/12/22,-0.013929413,-0.013511
2020/12/23,2020/12/23,0.000962349,0.00115
2020/12/24,2020/12/24,0.001936917,0.003279
2020/12/25,2020/12/25,0.00404597,0.003288
2020/12/28,2020/12/28,0.009124586,0.008831
2020/12/29,2020/12/29,-0.001607093,-0.001252
2020/12/30,2020/12/30,0.018311169,0.018557
2020/12/31,2020/12/31,0.004292384,0.004001
2021/1/4,2021/1/4,0.01073543,0.011835
2021/1/5,2021/1/5,0.013289294,0.009368
2021/1/6,2021/1/6,0.010087953,0.006496
2021/1/7,2021/1/7,0.021202098,0.020152
2021/1/8,2021/1/8,0.023747134,0.021885
2021/1/11,2021/1/11,0.012981083,0.007244
2021/1/12,2021/1/12,0.002786604,0.000947
2021/1/13,2021/1/13,0.023202248,0.020513
2021/1/14,2021/1/14,-0.010964735,-0.00898
2021/1/15,2021/1/15,0.002285031,0.001427
2021/1/18,2021/1/18,0.001648102,0.001728
2021/1/19,2021/1/19,0.027113857,0.024043
2021/1/20,2021/1/20,0.010902258,0.008194
2021/1/21,2021/1/21,0.032302119,0.029248
2021/1/22,2021/1/22,-0.018676832,-0.018492
2021/1/25,2021/1/25,-0.009199869,-0.009718
2021/1/26,2021/1/26,-0.024121086,-0.021791
2021/1/27,2021/1/27,0.002087434,0.000884
2021/1/28,2021/1/28,-0.022051184,-0.020291
2021/1/29,2021/1/29,-0.017669606,-0.017869
2021/2/1,2021/2/1,0.026536478,0.024678
2021/2/2,2021/2/2,0.027697038,0.026819
2021/2/3,2021/2/3,0.001272501,0.000127
2021/2/4,2021/2/4,-0.006120367,-0.00491
2021/2/5,2021/2/5,0.008250898,0.0072
2021/2/17,2021/2/17,0.044498023,0.040924
2021/2/18,2021/2/18,-0.000549768,-0.00081
2021/2/19,2021/2/19,-0.012506157,-0.009933
2021/2/22,2021/2/22,-0.004598059,-0.001173
