code,年月,當季季底P/E,當季季底P/B,ROE(B)－常續利益,季底普通股市值,季別
2524,Jun-05,7.36,2.59,16.76,7462832,2
2527,Jun-05, ,0.5,4.62,1730726,2
2528,Jun-05, ,2.09,-70.86,135185,2
2530,Jun-05, ,0.36,-8.94,1427122,2
2534,Jun-05,330.86,1.23,0.85,10177710,2
2535,Jun-05,12.6,0.8,1.16,2448161,2
2536,Jun-05,10.45,1.19,5.99,6997815,2
2537,Jun-05, ,0.44,-8.88,172990,2
2538,Jun-05, ,0.49,-1.88,1621380,2
2539,Jun-05, ,2.29,-14.58,341500,2
2540,Jun-05,2.83,1.07,-9.97,282302,2
2542,Jun-05,10.59,1.67,11.85,5755440,2
2543,Jun-05,10.48,0.93,5.47,1308528,2
2545,Jun-05,6.01,1.72,18.79,4443597,2
2546,Jun-05, ,0.74,5.47,469353,2
2547,Jun-05,8.67,1.73,7.35,4331799,2
2548,Jun-05,5.12,1.89,31.88,4990200,2
2601,Jun-05, ,0.77,-0.2,1689781,2
2603,Jun-05,5.29,1.3,11.46,69411057,2
2605,Jun-05,7.51,2.14,15.22,15557807,2
2606,Jun-05,4.93,2.16,23.37,35178640,2
2607,Jun-05,22.87,0.77,1.57,13872833,2
2608,Jun-05,49.24,0.71,0.57,4260338,2
2609,Jun-05,6.7,1.53,10.74,64667838,2
2610,Jun-05,21.5,1.04,1.62,55047598,2
2611,Jun-05, ,0.67,-1.44,1404714,2
2612,Jun-05,19.94,1.76,4.07,4481470,2
2613,Jun-05,10.4,0.95,4.51,1090262,2
2614,Jun-05,6.39,0.99,7.31,11329785,2
2615,Jun-05,8.78,1.99,10.69,53525934,2
2616,Jun-05,9.12,0.87,4.52,1207258,2
2617,Jun-05,8.98,1.64,11.51,8846959,2
2618,Jun-05,26.58,1.2,0.83,51526020,2
2630,Jun-05, , ,-11.57, ,2
2633,Jun-05, ,0.47,-1.08,39999200,2
2634,Jun-05, , ,-11.94, ,2
2701,Jun-05,17.69,0.91,3.64,3675716,2
2702,Jun-05,527.89,2.81,1.11,1954245,2
2704,Jun-05,30.56,1.38,2.89,9316112,2
2705,Jun-05, ,1.37,-0.88,5802420,2
2706,Jun-05,14.25,1.05,5.13,3968684,2
2707,Jun-05,15.31,3.71,12.92,11471250,2
2712,Jun-05, , ,-1.2, ,2
2801,Jun-05, ,1.27,-12.29,85849129,2
2809,Jun-05,13.69,1.17,4.75,9126608,2
2812,Jun-05,276.3,1.08,-1.39,14934116,2
2816,Jun-05,18.19,1.67,4.48,4605128,2
2820,Jun-05,7.54,0.97,5.89,18969310,2
2832,Jun-05,9.11,1.02,5.9,4804638,2
2834,Jun-05, ,1.01,0.21,44357223,2
2836,Jun-05,39.38,1.12,0.88,11276675,2
2838,Jun-05,13.27,0.83,2.73,18436479,2
2845,Jun-05,9.55,1.39,7.79,29758250,2
2849,Jun-05,27.15,1.13,2.24,21452192,2
2850,Jun-05,9.11,1.17,7.19,3696759,2
2851,Jun-05,12.19,1.05,4.78,5502000,2
2852,Jun-05,26.9,1.45,-3.47,4029856,2
2855,Jun-05,17.71,1.11,1.94,17848794,2
2867,Jun-05, , ,2.54, ,2
2880,Jun-05,14.19,1.63,5.25,137816960,2
2881,Jun-05,16.57,1.65,4.45,248411148,2
2882,Jun-05,21.15,3.12,6.07,541157533,2
2883,Jun-05,72.06,1.15,3.57,140772451,2
2884,Jun-05,14.45,1.78,6.49,74437469,2
2885,Jun-05,26.62,1.21,0.38,49456004,2
2886,Jun-05,11.11,1.36,6.07,236975450,2
2887,Jun-05,9.76,1.58,8.63,117846821,2
2888,Jun-05,10.14,1.57,10.34,102534464,2
2889,Jun-05,7.41,1.16,7.1,27664460,2
2890,Jun-05,9.31,0.77,3.77,67840451,2
2891,Jun-05,11.64,1.88,9.39,203991117,2
2892,Jun-05,14.93,1.78,6.05,145385739,2
2897,Jun-05,14.27,0.88,3.05,22231706,2
2901,Jun-05,70.67,1.32,1.21,1073732,2
2903,Jun-05,32.52,1.08,0.61,18753836,2
2904,Jun-05, ,0.48,-4.39,280440,2
2905,Jun-05,31.65,0.85,0.57,5191767,2
2906,Jun-05,10.57,0.93,4.55,4088829,2
2908,Jun-05,10.25,1.75,7.11,8961660,2
2910,Jun-05,20.98,2.85,7.89,5165944,2
2911,Jun-05,9.74,1.14,6.33,1811980,2
2912,Jun-05,15.77,4.29,13.85,57105984,2
2913,Jun-05, ,0.77,-3.58,5432279,2
2915,Jun-05,737.23,1.44,-1.49,9968845,2
3002,Jun-05,9.58,1.47,6.74,1271040,2
3003,Jun-05,10.43,1.6,6.49,2061166,2
3004,Jun-05, ,0.85,-31.01,400024,2
3005,Jun-05,14.89,1.66,6.6,6986487,2
3006,Jun-05,20.86,2.13,-5.06,11029180,2
3008,Jun-05,26.25,4.75,7.36,22344192,2
3010,Jun-05,6.52,2,16.42,8227110,2
3011,Jun-05,27.23,1.77,4.48,2500127,2
3013,Jun-05,24.66,1.04,0.88,1714649,2
3014,Jun-05,25.29,1.61,4.86,1903760,2
3015,Jun-05,10.17,2.13,9.28,4403258,2
3016,Jun-05,37.3,1.95,0.87,1385144,2
3017,Jun-05,60.43,1.49,1.46,5189975,2
3018,Jun-05,17.13,1.07,3.16,934114,2
3019,Jun-05,19.36,4.13,10.31,44338122,2
3021,Jun-05, ,4.14,-105.72,162623,2
3022,Jun-05,10.69,2.23,13.31,5583337,2
3023,Jun-05,8.74,1.95,13.34,4172583,2
3024,Jun-05,15.41,1.7,4.39,7247778,2
3025,Jun-05, ,1.44,-1.31,1006071,2
3026,Jun-05,10.07,2,10.41,9038968,2
3027,Jun-05,15.3,0.96,1.26,1317802,2
3028,Jun-05,5.68,0.7,6.65,1788043,2
3029,Jun-05,50.45,0.96,1.18,1154845,2
3030,Jun-05,10.36,1.9,2.26,2567100,2
3031,Jun-05,12.72,2.17,6.78,3640080,2
3032,Jun-05,10.39,1.37,7.47,1694580,2
3033,Jun-05,8.49,1.13,5.28,2122641,2
3034,Jun-05,13.37,6.28,26.13,54072901,2
3035,Jun-05,11.68,3.94,17.28,15771338,2
3036,Jun-05,19.19,0.86,-0.3,2755129,2
3037,Jun-05,11.17,1.39,4.94,23205444,2
3038,Jun-05,10.65,1.72,9.8,4378900,2
3040,Jun-05, ,1.23,-13.59,1907163,2
3041,Jun-05, ,2.98,7.17,6586070,2
3042,Jun-05,11.84,1.54,8.24,3865564,2
3043,Jun-05,16.51,3.32,13.53,5061733,2
3044,Jun-05,12.88,3.27,15.35,17189720,2
3045,Jun-05,9.56,2.06,10.69,161162077,2
3046,Jun-05, ,1.87,-29.21,3822205,2
3047,Jun-05,23.64,0.71,4.96,427016,2
3048,Jun-05,9.63,1.94,8.11,3636690,2
3049,Jun-05,13.8,1.09,1.91,10908478,2
3050,Jun-05,56.73,0.66,-2.58,2844592,2
3051,Jun-05,26.19,2.39,-2.98,30147200,2
3052,Jun-05, ,0.65,-9.94,950513,2
3054,Jun-05, ,2.51,-30.12,1243564,2
3055,Jun-05,7.24,1.66,8.99,4553240,2
3056,Jun-05, ,1.08,-21.39,304746,2
3057,Jun-05,38.08,2.01,0.17,2723756,2
3058,Jun-05, ,0.78,-3.18,801614,2
3059,Jun-05,20.53,2.52,6.63,8433446,2
3060,Jun-05,12.72,3.77,10.56,5737716,2
3062,Jun-05,10.89,1.7,8.03,5861768,2
3090,Jun-05,13.95,2.39,13.18,1514170,2
3092,Jun-05, ,0.93,3.22,277200,2
3094,Jun-05, ,0.76,-0.39,489600,2
3130,Jun-05,8.67,4.45,27.26,2352000,2
3138,Jun-05,55.36,1,0.92,346950,2
